NO,曲名,品番,演奏時間,出版社,備考
99,ANTIGUA BAY,,,,
100,FREEDOM'S LIGHT,,,,
101,コパカ・バ・ナ,,,,
102,コンサートバンド&ジャズアンサンブル,,,,
103,シンコペイテッド・クロック,,,,
104,坂本 九メモリアル,,,,
105,JUMP / ヴァン・ヘイレン,WSL-09-008,,ウインズスコア,
106,序曲「春の猟犬」,,,東亜音楽社 / 音楽之友社,
107,STAR WARS,,,,
108,Selecten Duets for SAXOPHONE vol.1 サックス二重奏,,,,
109,サザエさん,QH-773,,ミュージックエイト / ヒットシリーズ,
110,第一組曲,,,ハンドジャーナル付録,
111,鉄腕アトム 4月7日バースデイメモリアル,,,,
112,ディズニーメドレー,,,,
113,ディズニーメドレーⅢ,,,,
114,トリプレクス 打楽器4重奏,GME-7082,"3'50""",アコード出版 / アンサンブル,
115,中村八大ヒット曲メドレー,,,,
116,鉛の兵隊の行進 混合5~7重奏,GME-7049,"3'00""",アコード出版 / アンサンブル,
117,ノアの箱舟,,,,
118,パイレーツ・オブ・ザ・カリビアン,,,,
119,ひまわり / 遊助,WSJ-09-006,,ウインズスコア,
120,ポップトーン 打楽器4重奏,GME-7117,"4'15""",アコード出版 / アンサンブル,
121,マツケンサンバⅡ,,,,
122,マゼランの未知なる大陸への挑戦/樽屋雅徳,PS-0702,,CAFUAレコード,
123,ミッション インポッシブル,,,,
124,未来予想図Ⅱ / ドリームズ・カム・トウルー,WSJ-10-001,,ウインズスコア,
125,龍馬伝,,,,
126,龍馬伝,,,,
127,レイターズ・マーチ,,,,
128,Let's Go クラシック,WSL-07-014,,ウインズスコア,
129,守護天使の夜「私の子供たちのためのアルバム」より,GMS-1047,,アコード出版 / アンサンブル,
130,昔の歌「私の子供たちのためのアルバム」より,GMS-1048,"3'00""",アコード出版 / アンサンブル,
131,鉛の兵隊の行進「私の子供たちのためのアルバム」より,GMS-1046,,アコード出版 / アンサンブル,
132,ファランドール「私の子供たちのためのアルバム」より,GMS-1049,,アコード出版 / アンサンブル,
133,RAGTIME SUITE (ラグタイム組曲) サックス4重奏,,,アンサンブル,
134,剣の舞 打楽器5重奏,,,アンサンブル,
135,LINCOLN LEGACY (リンカーン・レガシー),,"4'00""",,
136,「森のスケッチ」より 木管6重奏,GME-7057,"3'00""",アコード出版 / アンサンブル,
137,RAINBOWS (レインボーズ) 打楽器4重奏,,,アンサンブル,
138,Le Piccadilly (ピカデリー),,,アンサンブル,
139,口笛吹きと犬 混合8重奏,GME-7176,"2'40""",アコード出版 / アンサンブル,
140,青い山脈,,,,
141,Butterfly / 木村カエラ,QH-1224,,ミュージックエイト / ヒットシリーズ,
142,フルート・カルテット60,,,アルソ出版,
143,はばたけ、未来へ ぎふ清流国体大会ソング,,,,
144,華麗なるブラスアンサンブルの世界 金管,,,,
145,RHAPSODY IN BLUE (ラプソディ・イン・ブルー),,,アカデミア・ミュージック / アンサンブル,
146,猫の組曲 トロンボーン4重奏,,,アンサンブル,
